# https://nemnodes.org and whois results
# NEM
IP Address|Port|Version|OS|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
162.55.102.226|7890|0.6.100|Linux|24940|162.55.0.0/16|DE|ripencc|1992-08-03|HETZNER-AS, DE
162.55.102.227|7890|0.6.100|Linux|24940|162.55.0.0/16|DE|ripencc|1992-08-03|HETZNER-AS, DE
162.55.75.48|7890|0.6.100|Linux|24940|162.55.0.0/16|DE|ripencc|1992-08-03|HETZNER-AS, DE
162.55.86.156|7890|0.6.100|Linux|24940|162.55.0.0/16|DE|ripencc|1992-08-03|HETZNER-AS, DE
163.172.31.181|7890|0.6.100|Linux|12876|163.172.0.0/16|GB|ripencc|1992-02-14|Online SAS, FR
167.179.114.43|7890|0.6.100|Linux|20473|167.179.64.0/18|US|apnic|1993-09-08|AS-CHOOPA, US
167.88.178.55|7890|0.6.97-|Linux|396105|167.88.178.0/24|CA|arin|2014-04-08|EN-15, CA
167.88.178.56|7890|0.6.97-|Linux|396105|167.88.178.0/24|CA|arin|2014-04-08|EN-15, CA
168.119.147.118|7890|0.6.100|Linux|24940|168.119.0.0/16|DE|ripencc|1994-04-05|HETZNER-AS, DE
168.119.80.0|7890|0.6.100|Linux|24940|168.119.0.0/16|DE|ripencc|1994-04-05|HETZNER-AS, DE
168.119.80.1|7890|0.6.100|Linux|24940|168.119.0.0/16|DE|ripencc|1994-04-05|HETZNER-AS, DE
168.119.83.0|7890|0.6.100|Linux|24940|168.119.0.0/16|DE|ripencc|1994-04-05|HETZNER-AS, DE
168.119.87.128|7890|0.6.100|Linux|24940|168.119.0.0/16|DE|ripencc|1994-04-05|HETZNER-AS, DE
168.61.99.198|7890|0.6.97-|Linux|8075|168.61.0.0/16|US|arin|2011-06-22|MICROSOFT-CORP-MSN-AS-BLOCK, US
171.101.19.231|7890|0.6.100|Windows 8.1|17552|171.101.0.0/18|TH|apnic|2011-03-07|TRUEONLINE-AS-AP True Online, TH
176.223.134.207|7890|0.6.100|Linux|212531|176.223.128.0/20|LT|ripencc|2011-11-29|INTERNETO-VIZIJA, LT
176.9.104.149|7890|0.6.97-|Linux|24940|176.9.0.0/16|DE|ripencc|2011-05-17|HETZNER-AS, DE
176.9.188.21|7890|0.6.100|Linux|24940|176.9.0.0/16|DE|ripencc|2011-05-17|HETZNER-AS, DE
178.238.234.100|7890|0.6.100|Linux|51167|178.238.234.0/23|DE|ripencc|2010-07-28|CONTABO, DE
178.63.121.128|7890|0.6.100|Linux|24940|178.63.0.0/16|DE|ripencc|2010-03-02|HETZNER-AS, DE
178.63.121.129|7890|0.6.100|Linux|24940|178.63.0.0/16|DE|ripencc|2010-03-02|HETZNER-AS, DE
178.63.235.192||||24940|178.63.0.0/16|DE|ripencc|2010-03-02|HETZNER-AS, DE
18.177.105.155|7890|0.6.100|Linux|16509|18.176.0.0/15|US|arin|2019-10-07|AMAZON-02, US
18.183.39.5|7890|0.6.100|Linux|16509|18.183.0.0/16|US|arin|2019-10-07|AMAZON-02, US
185.122.58.141|7890|0.6.100|Linux|7489|185.122.58.0/24|AT|ripencc|2015-10-20|HOSTUS-GLOBAL-AS HostUS, HK
185.170.114.165|7890|0.6.100|Linux|197540|185.170.112.0/22|DE|ripencc|2016-09-29|NETCUP-AS netcup GmbH, DE
185.220.176.18|7890|0.6.100|Linux|198651|185.220.176.0/24|LT|ripencc|2019-01-07|HOSTLINE, LT
185.233.106.200|7890|0.6.100|Linux|197540|185.233.104.0/22|DE|ripencc|2017-11-23|NETCUP-AS netcup GmbH, DE
185.233.107.77|7890|0.6.100|Linux|197540|185.233.104.0/22|DE|ripencc|2017-11-23|NETCUP-AS netcup GmbH, DE
188.226.68.243|7890|0.6.100|Windows 10|12668|188.226.0.0/17|RU|ripencc|2009-07-01|MIRALOGIC-AS, RU
188.40.175.64|7890|0.6.100|Linux|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
188.40.175.65|7890|0.6.100|Linux|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
188.40.180.128|7890|0.6.100|Linux|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
188.40.180.129|7890|0.6.100|Linux|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
188.40.182.192|7890|0.6.100|Linux|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
188.40.184.64|7890|0.6.100|Linux|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
188.40.184.65|7890|0.6.100|Linux|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
188.40.190.32|7890|0.6.100|Linux|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
188.40.205.1|7890|0.6.100|Linux|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
188.40.21.224|7890|0.6.100|Linux|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
188.40.231.0|7890|0.6.100|Linux|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
188.40.231.1|7890|0.6.100|Linux|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
188.40.241.96|7890|0.6.100|Linux|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
188.40.251.193|7890|0.6.100|Linux|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
192.99.212.107|7890|0.6.100|Linux|16276|192.99.0.0/16|CA|arin|2013-06-17|OVH, FR
195.181.247.46|7890|0.6.100|Linux|212531|195.181.240.0/21|LT|ripencc|1997-03-20|INTERNETO-VIZIJA, LT
195.201.165.14|7890|0.6.100|Linux|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
203.135.231.85|7890|0.6.100|Linux|7679|203.135.192.0/18|JP|apnic|2004-07-08|QTNET QTnet,Inc., JP
207.180.216.27|7890|0.6.100|Linux|51167|207.180.216.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.244.251.48|7890|0.6.100|Linux|40021|207.244.240.0/20|US|arin|2021-05-07|CONTABO, US
209.145.60.236|7890|0.6.100|Linux|40021|209.145.48.0/20|US|arin|2021-08-26|CONTABO, US
209.145.60.237|7890|0.6.100|Linux|40021|209.145.48.0/20|US|arin|2021-08-26|CONTABO, US
209.145.61.146|7890|0.6.100|Linux|40021|209.145.48.0/20|US|arin|2021-08-26|CONTABO, US
210.158.180.49|7890|0.6.100|Linux|23614|210.158.176.0/20|JP|apnic|1996-12-30|I-KOCHI Kochi Systems Co., Ltd., JP
210.166.75.229|7890|0.6.95-|Linux|7503|210.166.64.0/19|JP|apnic|1997-08-04|AIR Air Internet Service Co.,Ltd., JP
212.24.103.82|7890|0.6.100|Linux|212531|212.24.96.0/20|LT|ripencc|1999-08-16|INTERNETO-VIZIJA, LT
213.252.247.12|7890|0.6.100|Linux|61272|213.252.244.0/22|LT|ripencc|2003-05-07|IST-AS, LT
213.252.247.125|7890|0.6.100|Linux|61272|213.252.244.0/22|LT|ripencc|2003-05-07|IST-AS, LT
213.252.247.126|7890|0.6.100|Linux|61272|213.252.244.0/22|LT|ripencc|2003-05-07|IST-AS, LT
213.252.247.127|7890|0.6.100|Linux|61272|213.252.244.0/22|LT|ripencc|2003-05-07|IST-AS, LT
217.182.66.112|7890|0.6.100|Linux|16276|217.182.0.0/16|FR|ripencc|2001-03-02|OVH, FR
217.182.66.113|7890|0.6.100|Linux|16276|217.182.0.0/16|FR|ripencc|2001-03-02|OVH, FR
217.182.66.114|7890|0.6.100|Linux|16276|217.182.0.0/16|FR|ripencc|2001-03-02|OVH, FR
217.182.66.115|7890|0.6.100|Linux|16276|217.182.0.0/16|FR|ripencc|2001-03-02|OVH, FR
3.66.235.44|7890|0.6.100|Linux|16509|3.64.0.0/12|US|arin|2017-12-20|AMAZON-02, US
35.73.240.88|7890|0.6.100|Linux|16509|35.72.0.0/13|US|arin|2019-04-15|AMAZON-02, US
37.235.49.90|7890|0.6.100|Linux|50613|37.235.49.0/24|AT|ripencc|2012-04-16|THORDC-AS, IS
38.105.209.76|7890|0.6.100|Linux|40021|38.105.209.0/24|US|arin|1991-04-16|CONTABO, US
43.244.66.196|7890|0.6.100|Linux|10013|43.244.0.0/16|JP|apnic|2009-07-23|FBDC FreeBit Co.,Ltd., JP
45.32.131.118|7890|0.6.100|Linux|20473|45.32.128.0/20|US|arin|2015-02-17|AS-CHOOPA, US
45.58.52.38|7890|0.6.100|Linux|7489|45.58.52.0/24|US|arin|2015-02-02|HOSTUS-GLOBAL-AS HostUS, HK
45.76.120.189|7890|0.6.100|Linux|20473|45.76.112.0/20|US|arin|2015-04-24|AS-CHOOPA, US
45.76.144.42|7890|0.6.100|Linux|20473|45.76.144.0/21|US|arin|2015-04-24|AS-CHOOPA, US
45.76.22.139|7890|0.6.100|Linux|20473|45.76.16.0/20|US|arin|2015-04-24|AS-CHOOPA, US
45.77.174.157|7890|0.6.100|Linux|20473|45.77.168.0/21|US|arin|2015-04-24|AS-CHOOPA, US
45.77.193.22|7890|0.6.100|Linux|20473|45.77.192.0/21|US|arin|2015-04-24|AS-CHOOPA, US
46.101.125.128|7890|0.6.100|Linux|14061|46.101.124.0/22|US|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
46.38.254.30|7890|0.6.100|Linux|197540|46.38.252.0/22|DE|ripencc|2010-12-02|NETCUP-AS netcup GmbH, DE
46.4.162.96|7890|0.6.100|Linux|24940|46.4.0.0/16|DE|ripencc|2010-08-19|HETZNER-AS, DE
46.4.217.224|7890|0.6.100|Linux|24940|46.4.0.0/16|DE|ripencc|2010-08-19|HETZNER-AS, DE
46.4.217.225|7890|0.6.100|Linux|24940|46.4.0.0/16|DE|ripencc|2010-08-19|HETZNER-AS, DE
5.252.179.58|7890|0.6.100|Linux|39798|5.252.179.0/24|MD|ripencc|2019-02-06|MIVOCLOUD, MD
51.79.66.133|7890|0.6.100|Linux|16276|51.79.0.0/17|CA|arin|2019-01-10|OVH, FR
51.79.73.50|7890|0.6.100|Linux|16276|51.79.0.0/17|CA|arin|2019-01-10|OVH, FR
51.79.73.51|7890|0.6.100|Linux|16276|51.79.0.0/17|CA|arin|2019-01-10|OVH, FR
52.194.244.165|7890|0.6.100|Linux|16509|52.194.0.0/15|US|arin|2015-09-02|AMAZON-02, US
52.68.132.108|7890|0.6.100|Linux|16509|52.68.0.0/15|US|arin|1991-12-19|AMAZON-02, US
54.199.183.90|7890|0.6.100|Linux|16509|54.199.128.0/17|US|arin|2014-10-23|AMAZON-02, US
54.246.27.47|7890|0.6.100|Linux|16509|54.246.0.0/17|US|arin|2012-03-01|AMAZON-02, US
54.250.98.33|7890|0.6.100|Linux|16509|54.250.0.0/17|US|arin|2012-03-01|AMAZON-02, US
54.37.136.53|7890|0.6.100|Linux|16276|54.37.0.0/16|FR|ripencc|1992-03-17|OVH, FR
54.37.19.3|7890|0.6.100|Linux|16276|54.37.0.0/16|FR|ripencc|1992-03-17|OVH, FR
54.37.75.182|7890|0.6.100|Linux|16276|54.37.0.0/16|FR|ripencc|1992-03-17|OVH, FR
62.75.171.41|7890|0.6.100|Linux|8972|62.75.171.0/24|DE|ripencc|2001-07-27|GD-EMEA-DC-SXB1, DE
62.75.251.134||||8972|62.75.251.0/24|DE|ripencc|2001-07-27|GD-EMEA-DC-SXB1, DE
65.21.136.170|7890|0.6.100|Linux|24940|65.21.0.0/16|DE|ripencc|2001-09-26|HETZNER-AS, DE
65.21.137.242|7890|0.6.100|Linux|24940|65.21.0.0/16|DE|ripencc|2001-09-26|HETZNER-AS, DE
65.21.178.74|7890|0.6.100|Linux|24940|65.21.0.0/16|DE|ripencc|2001-09-26|HETZNER-AS, DE
65.21.232.98|7890|0.6.100|Linux|24940|65.21.0.0/16|DE|ripencc|2001-09-26|HETZNER-AS, DE
65.21.40.28|7890|0.6.100|Linux|24940|65.21.0.0/16|DE|ripencc|2001-09-26|HETZNER-AS, DE
66.42.53.38|7890|0.6.100|Linux|20473|66.42.48.0/20|US|apnic|2010-11-10|AS-CHOOPA, US
66.94.108.178|7890|0.6.100|Linux|40021|66.94.104.0/21|US|arin|2021-07-28|CONTABO, US
66.94.112.84|7890|0.6.100|Linux|40021|66.94.112.0/22|US|arin|2021-07-28|CONTABO, US
66.94.114.73|7890|0.6.100|Linux|40021|66.94.112.0/22|US|arin|2021-07-28|CONTABO, US
66.94.127.200|7890|0.6.100|Linux|40021|66.94.120.0/21|US|arin|2021-07-28|CONTABO, US
66.94.127.86|7890|0.6.100|Linux|40021|66.94.120.0/21|US|arin|2021-07-28|CONTABO, US
78.141.224.98|7890|0.6.100|Linux|20473|78.141.224.0/19|US|ripencc|2007-07-30|AS-CHOOPA, US
85.10.248.125|7890|0.6.97-|Linux|24940|85.10.192.0/18|DE|ripencc|2005-02-23|HETZNER-AS, DE
85.10.248.126|7890|0.6.97-|Linux|24940|85.10.192.0/18|DE|ripencc|2005-02-23|HETZNER-AS, DE
85.209.49.49|7890|0.6.97-|Linux|197540|85.209.48.0/22|DE|ripencc|2019-02-26|NETCUP-AS netcup GmbH, DE
88.198.33.79|7890|0.6.100|Linux|24940|88.198.0.0/16|DE|ripencc|2005-12-27|HETZNER-AS, DE
88.208.61.245|7890|0.6.97-|Linux|39572|88.208.0.0/18|NL|ripencc|2005-10-24|ADVANCEDHOSTERS-AS, NL
88.99.87.132|7890|0.6.100|Linux|24940|88.99.0.0/16|DE|ripencc|2005-08-03|HETZNER-AS, DE
89.250.240.60|7890|0.6.100|Linux|41453|89.250.240.0/20|CZ|ripencc|2006-08-23|TRESTEL-CZ-ASN, CZ
89.250.243.166|7890|0.6.100|Linux|41453|89.250.240.0/20|CZ|ripencc|2006-08-23|TRESTEL-CZ-ASN, CZ
94.16.109.156|7890|0.6.100|Linux|197540|94.16.108.0/22|AT|ripencc|2008-06-05|NETCUP-AS netcup GmbH, DE
95.110.135.55|7890|0.6.100|Linux|31034|95.110.128.0/21|IT|ripencc|2008-12-18|ARUBA-ASN, IT
95.216.12.113|7890|0.6.100|Linux|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.230.96|7890|0.6.100|Linux|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.216.255.64|7890|0.6.100|Linux|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.125.96|7890|0.6.100|Linux|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.125.97|7890|0.6.100|Linux|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.48.96|7890|0.6.100|Linux|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.71.192|7890|0.6.100|Linux|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.82.223.13|7890|0.6.100|Windows 7|12668|95.82.192.0/18|RU|ripencc|2008-12-12|MIRALOGIC-AS, RU
