# https://data.ripple.com/ and whois results
# Ripple Nodes
IP Address|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name|Publice Key
116.203.129.96|rippled-1.7.3|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE|n9MdgFb2DUcLHCRNTMAWZiFTtMJYTToWSCcXptCsnjY9ykxoxou9
116.203.159.246|rippled-1.7.3|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE|n9KFZ5nKd7AR6MSiD7DaNQs1dw8oUGVtAb2aFx9QrAgFAMGTtbmi
119.92.231.137|rippled-1.7.3|9299|119.92.224.0/19|PH|apnic|2008-02-01|IPG-AS-AP Philippine Long Distance Telephone Company, PH|n9KmwicHYCb5dwkz8KhotE8odghwvvMr779hna7YpaVD2yNYZtSA
119.96.251.5|rippled-1.7.3|58563|119.96.248.0/22|CN|apnic|2008-01-31|CHINATELECOM-HUBEI-IDC CHINANET Hubei province network, CN|n9Ks8HSDKTfpBVTH67SNxdTEGcxRnFKZyGknGLLQVbmP8ZU5cAN2
121.156.104.222|rippled-1.6.0|4766|121.152.0.0/13|KR|apnic|2006-04-07|KIXS-AS-KR Korea Telecom, KR|n9L6mVTmMS6w5NvzS5WocHhVvn7iXcFSh6z81SpQPsnyDrRt57Vs
128.1.137.165|rippled-1.7.3|135377|128.1.137.0/24|US|arin|2016-09-07|UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED, HK|n9JuM7W2dMJHX4gbYudqp2958VuGWGE5owwQMH6QnejTRM1j6Dxm
128.1.137.64|rippled-1.7.3|135377|128.1.137.0/24|US|arin|2016-09-07|UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED, HK|n9KdGEpJUxM8rncoaLMKMjYN22U8534fq4S4fXdNvDDSNHDHn8pV
128.199.118.42|rippled-1.8.1|14061|128.199.64.0/18|GB|ripencc|1999-04-12|DIGITALOCEAN-ASN, US|n9JimUrcxrtSBckDqpgiv1256PBoUDZ6GfXgJ9W1txvPWi8BMMSe
128.2.12.49|rippled-1.8.1|9|128.2.0.0/16|US|arin|1984-04-17|CMU-ROUTER, US|n9KasfoG5wZpJh65CiDzfeVaNEgVADGnYYEQrUCYEw5nCPn2gzWy
13.112.175.116|rippled-1.7.3|16509|13.112.0.0/14|US|arin|2016-08-09|AMAZON-02, US|n9KQFxvRBb1zQRgp5aZA1p2VVN6zWk5m9mdNorVYWCNGNruybxW4
13.112.30.113|rippled-1.8.1|16509|13.112.0.0/14|US|arin|2016-08-09|AMAZON-02, US|n9LMpnL3Edoy5awyKsPXR4fpRUNjpDgyunFCwNzuiaqngdDJD3o5
13.113.164.231|rippled-1.7.3|16509|13.112.0.0/14|US|arin|2016-08-09|AMAZON-02, US|n9JgXjP9D3BzDXy8RjBCtCPb64uwx27h1a2ZwkCKPp4yugWLk5BT
13.114.198.13|rippled-1.7.3|16509|13.112.0.0/14|US|arin|2016-08-09|AMAZON-02, US|n9Mkx3HgjE6tWvSfV9UVw2D6tn7M6v9UoLmwPBJzAcKvrmg9sMS2
13.115.56.165|rippled-1.8.1|16509|13.112.0.0/14|US|arin|2016-08-09|AMAZON-02, US|n9LAt8aWbJBmHeprixDud7YUNZ2GE3G1dNmsrhb3xY82ct1MYR3s
13.124.148.216|rippled-1.8.1|16509|13.124.0.0/16|US|arin|2016-08-09|AMAZON-02, US|n9M1xP4mD7ys4XS23B3Mj8EpNM1TSxPwNG3VhmEtSBfAncMsJ1C1
13.124.42.229|rippled-1.7.3|16509|13.124.0.0/16|US|arin|2016-08-09|AMAZON-02, US|n9KdyJ2f4j6NdVeisQDDM7r2xbrQxmzx4iaYAs3kWdsg1HjZEBhZ
13.124.58.33|rippled-1.7.3|16509|13.124.0.0/16|US|arin|2016-08-09|AMAZON-02, US|n9LFn2tG5n77KnzJgUoNJjqEadWjBzi9ycUuG1yPAxVVau5NXgyY
13.125.85.243|rippled-1.7.3|16509|13.125.0.0/16|US|arin|2016-08-09|AMAZON-02, US|n9MQ1N3LhsqujoPj9k4gRTEfswSEBNDePDhRHJWRvtyWm3pTu4vu
13.209.243.246|rippled-1.7.3|16509|13.209.0.0/16|US|arin|2019-10-01|AMAZON-02, US|n9KhXYfeoBoEWzh8K8RTs7MkSYj4SmD7eSVCcittxUNzbiZUmqcN
13.209.40.105|rippled-1.7.3|16509|13.209.0.0/16|US|arin|2019-10-01|AMAZON-02, US|n9M5pFjFTrsbQERVdJwD1B6iTiw4XkQ1x7wdq5LPNufrxbjjc3Es
13.209.60.161|rippled-1.7.3|16509|13.209.0.0/16|US|arin|2019-10-01|AMAZON-02, US|n9KKC75CeVjahrizMLWVX13VXGKcXR6Uq69e4Sv5yGhhghUyFh2E
13.210.68.3|rippled-1.7.3|16509|13.210.0.0/15|US|arin|2019-10-01|AMAZON-02, US|n94GPVnKPLVVwtmVwnuQyRq3r5S2JFGwYaqF1crkNhNm3SB3A8oo
13.213.101.205|rippled-1.7.3|16509|13.212.0.0/15|US|arin|2019-10-01|AMAZON-02, US|n94faq7mk2h8yQdyACFPWtnrcqgGhVjqsAtLmtAnXSewgxvpqtJu
13.229.198.53|rippled-1.7.3|16509|13.228.0.0/15|US|arin|2019-10-01|AMAZON-02, US|n9Lc92Pco4Ek69SDvuUJF4GPSjSb4cWdcHb6KrgmLMsy7henroVv
13.230.138.109|rippled-1.7.3|16509|13.230.0.0/15|US|arin|2019-10-01|AMAZON-02, US|n9KEpFCmmRFfayVrZZXi1EhV1m992gUb5xNQMy4vRoZyDu1LC4Rq
13.230.246.169|rippled-1.7.3|16509|13.230.0.0/15|US|arin|2019-10-01|AMAZON-02, US|n9LSpLKZy2GXHbdQWgeLmRVEgvT4cKT6saxrRdqvjwcXqJ3du9zB
13.231.174.163|rippled-1.8.1|16509|13.230.0.0/15|US|arin|2019-10-01|AMAZON-02, US|n9LTT4XrytQrW6BEnBNa6qaK7THKTd3XWKXoMtVPgHgeXM6Fb8CP
13.231.255.248|rippled-1.7.3|16509|13.230.0.0/15|US|arin|2019-10-01|AMAZON-02, US|n9K17b3dor2jRo5WKzsCqFT4grpUUTrmWpLP1Gb4rd8CFxTixb9i
13.233.144.7|rippled-1.7.3|16509|13.232.0.0/14|US|arin|2019-10-01|AMAZON-02, US|n9LFjrexZ58xDGHRRPsSZmAWA8gShfF5TqUEQbMsdAW3dachehXQ
13.251.180.208|rippled-1.7.3|16509|13.250.0.0/15|US|arin|2018-07-11|AMAZON-02, US|n9JkwPzWg29wdxtbCmLxsp1VTYBRfsCkNxsnipt9zRyLn9Hny2fJ
13.53.194.114|rippled-1.7.3|16509|13.53.0.0/16|US|arin|2020-08-05|AMAZON-02, US|n9LPfdPpcgodpDkDU9anSaAKm9hf1vtHkuDFTQSYSiMrdN5vFdFp
13.57.3.80|rippled-1.7.3|16509|13.57.0.0/16|US|arin|2020-08-05|AMAZON-02, US|n9MfgVHg3heBb8nABueCSR3JqEPBmJqUJfdxGCsWyQv21hngKHg4
13.94.88.232|rippled-1.7.3|8075|13.64.0.0/11|US|arin|2015-03-26|MICROSOFT-CORP-MSN-AS-BLOCK, US|n9K1D4s2KAF1DsH1spiCCkXRmZ5excmEwsYowjoNQUHJUzQm9x9y
130.161.221.6|rippled-1.7.3|1128|130.161.0.0/16|NL|ripencc|1988-08-26|TUDELFT-NL DTO TUDELFT, The Netherlands - AS, NL|n9LktwsRCL7jWhEdhxwQwVdAVKtmaf6A9UZbAFKB2Mnvf5VaipMY
130.211.97.59|rippled-1.7.3|396982|130.211.96.0/20|US|arin|2014-05-12|GOOGLE-CLOUD-PLATFORM, US|n9LV8UwwuHg4GKdG5eyD1ESDYuwRzGYuUzH15JrLCBhT5Uk4jtvh
131.153.56.154|rippled-1.7.3|19181|131.153.56.0/24|US|arin|2015-05-08|CWIE, US|n9M24JPTxC9ugKnudKPQ9e6vQav7uPEW3bziwNWPwx2to9GLaTCi
134.209.87.205|rippled-1.7.3|14061|134.209.80.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US|n9J6oagLLnm8SN8kB1k1qtHFEyNHfeT3WiHrvtQVTFaLhnNkyLWC
135.181.136.95|rippled-1.7.3|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE|n9KBwDPsxG3zTdXqjDBXj4h6BpaCHgcNwStLNYriqBk9KQCct9Zs
135.181.17.34|rippled-1.7.3|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE|n9LowAG1jGkB6i4TqStd7KboJ3iRXNXwGvYuwqhe9LU552phkYFP
135.181.180.251|rippled-1.7.0|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE|n9Lk8jD1mvSGh933GE3ZzACuy4stYg9ZMejiVQ9DTFSwkDe9EZx1
135.181.57.135|rippled-1.7.3|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE|n9K7AZiUHYQ8LtmhZXaj8vzuEGWWMK7gx7gZSuenns9YjmkTHko6
135.181.62.50|rippled-1.7.3|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE|n9LVuq8D3VjXmnYGHnUf9czQ2eYBHH4gccrWaZ3d6Wo6bqtSVBnD
136.152.1.131|rippled-1.8.1|25|136.152.0.0/16|US|arin|1991-03-06|UCB, US|n9KkZbduxCbJXUbuDApFV3PzpDwsvHwD8ARZXM5jrgJZEnps9nrB
136.243.19.114|rippled-1.8.1|24940|136.243.0.0/16|DE|ripencc|2004-04-14|HETZNER-AS, DE|n9KpGuS9QscqKf5SkfrKQeqiLgCQfARhfqqdUWV9vo3PGyQzZmka
136.243.19.245|rippled-1.8.1|24940|136.243.0.0/16|DE|ripencc|2004-04-14|HETZNER-AS, DE|n9Jy4oVzMrWPJrEm6js4XTGdHskwxFTrgsadg5Apqf9szxicvDt3
136.243.24.38|rippled-1.8.1|24940|136.243.0.0/16|DE|ripencc|2004-04-14|HETZNER-AS, DE|n9MTzwUo8eK61HEGUP3iMQJjC9zAch8DS63EcXvAJXCXwFWcJeRF
136.243.5.41|rippled-1.7.3|24940|136.243.0.0/16|DE|ripencc|2004-04-14|HETZNER-AS, DE|n9Mhe9Zw1wgVmTMgQ8AgpG8NKuzLJPk3o1DQQxd9ktV1sbhwmxZz
137.117.107.49|rippled-1.7.3|8075|137.117.0.0/16|US|arin|2011-08-02|MICROSOFT-CORP-MSN-AS-BLOCK, US|n9KH8CQWHroD2GNf4vAy2Nn65rjQomJBFeFE8fT1uw4yPNztfJSB
137.184.42.227|rippled-1.7.3|14061|137.184.32.0/20|US|arin|2019-11-13|DIGITALOCEAN-ASN, US|n9MmgHMbNFiTgF5R8y7RA2MZuy32vady9mSkfFPqrq9MHo5zQeqV
137.184.63.228|rippled-1.8.1|14061|137.184.48.0/20|US|arin|2019-11-13|DIGITALOCEAN-ASN, US|n9LcqJ93xwfFA88HWw5YVB8UsbnXcXgLSks562s5odFZ9NWnTXX5
138.201.123.35|rippled-1.8.1|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE|n9MyxdqCofPZFoowHvUY2eMiWdkAhHSm1zFfYdGhn7GfKQ8LCEoy
138.201.227.31|rippled-1.7.3|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE|n9LCWqtu9D7apeS96AHtqnYbfjbKm7nhq6zmyqr68eXPnpWsw4Ke
138.201.82.91|rippled-1.8.1|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE|n94BHcV6HQbEtkXnLg8WmZby76Qn2opZWueXDxYp7vvodRyGQxHk
138.201.83.166|rippled-1.8.1|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE|n94hVtmXGAwd67f3qgCmCoGoEFPVwg65FwLQQdL4mcb4LqQXQE5u
138.68.72.85|rippled-1.7.3|14061|138.68.64.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US|n9LD5njRQRSsJqQArF2Mvh8YNbp2384xNbEuZ4ye6WS8HyVcuUK2
141.95.45.92|rippled-1.7.3|16276|141.95.0.0/17|FR|ripencc|1993-02-18|OVH, FR|n9LcXsBU9jCFzT9xuef13ffjz3wqbgeoMuEeiXSHp93KEYzNWpZw
142.0.195.132|rippled-1.7.3|7979|142.0.195.0/24|US|arin|2015-06-04|SERVERS-COM, US|n9L6AYb3RB5Br9CzhPXpgHMGJo6vMU8YptbvuwSMtNdNezKyafpP
142.0.198.212|rippled-1.5.0|7979|142.0.198.0/24|US|arin|2015-06-04|SERVERS-COM, US|n9LjXA9pKBCzQRX5QqcA1TAV9Br5KejTLph1badnQu91NXRVaZsc
142.132.133.26|rippled-1.7.3|24940|142.132.128.0/17|DE|ripencc|1990-03-26|HETZNER-AS, DE|n9KVdt7DtuAwGpUxbhKxjZGQz8zaPGGaVNdEHdbuZgRKWD645pd2
144.217.67.115|rippled-1.7.3|16276|144.217.0.0/16|CA|arin|2016-09-07|OVH, FR|n9Jio5g1oEUjP5fWhFqbpB47o73QJ3e4RM7mUvr1s9jATbFpSgLT
144.76.0.7|rippled-1.7.3|24940|144.76.0.0/16|DE|ripencc|1990-11-16|HETZNER-AS, DE|n9LeadognGEe4Qb8PhNt3WNciwNtyi5M1cvJixwzekMJfrXqbyuX
144.76.136.114|rippled-1.7.3|24940|144.76.0.0/16|DE|ripencc|1990-11-16|HETZNER-AS, DE|n9MXDzgGHFrh2DGeS292EEctShY6iLie1im9nwf5tyAcFrP7bY9B
144.76.19.124|rippled-1.8.1|24940|144.76.0.0/16|DE|ripencc|1990-11-16|HETZNER-AS, DE|n9LB79NSqZ35hqNJZ1KPzJdJyfwzyvzhWLiCZSMTGsQqzq4M537q
144.76.207.136|rippled-1.7.3|24940|144.76.0.0/16|DE|ripencc|1990-11-16|HETZNER-AS, DE|n9LFWJmVrUbCtLDSHWJUbNSc4c82W76GuWq38SoUdQMLNaM8CCmc
144.76.25.187|rippled-1.7.3|24940|144.76.0.0/16|DE|ripencc|1990-11-16|HETZNER-AS, DE|n9LYWydQ8M4GzagMEan7QB4GpvfX9cfoVTvRWRA1R7VBBfCjHZPQ
144.91.101.205|rippled-1.7.3|51167|144.91.100.0/23|DE|ripencc|1990-11-20|CONTABO, DE|n9LLkSptyoC6HZQzBJWndiaCYxG9YtT9NYPwxq5fjx6UmF7ngEKb
146.59.253.219|rippled-1.7.3|16276|146.59.0.0/16|FR|ripencc|1994-03-08|OVH, FR|n9KNYokUQckfNzanBvgXCRq6GrfiPi7c2F7wnr3KeVVxVeRpjSHf
146.59.69.17|rippled-1.8.1|16276|146.59.0.0/17|FR|ripencc|1994-03-08|OVH, FR|n9K9bGfcHMrZZvdbugwsD3ki3YCuX9StqLZ3Y4u28xUXitw3nV2q
147.75.33.63|rippled-1.8.1|54825|147.75.32.0/23|US|ripencc|1991-07-11|PACKET, US|n9LMZgfdK4jd4VAJVuYhXr12LPf7boi81rzpHgkFyQ6UcXykJv8t
147.92.141.144|rippled-1.7.3|38631|147.92.128.0/17|JP|apnic|1991-07-19|LINE LINE Corporation, JP|n9KqnFS6xVZoZqYp6ZAtYtpDNpgnqpvYsYcUav3o9JpJQGzU21nV
147.92.141.145|rippled-1.7.3|38631|147.92.128.0/17|JP|apnic|1991-07-19|LINE LINE Corporation, JP|n9JbfHVjPDZ4Vx566oZEbZSU9ebg3WWwMaXpsz2fPsDzmYgmX9bN
147.92.141.146|rippled-1.8.1|38631|147.92.128.0/17|JP|apnic|1991-07-19|LINE LINE Corporation, JP|n94MoLMpkvfmWATeNL71an82LJ555Q7yjCuLCJpUZpPSL5xLsyNp
147.92.156.141|rippled-1.8.1|38631|147.92.128.0/17|JP|apnic|1991-07-19|LINE LINE Corporation, JP|n9K64TFpq1b6cfKtU3tkfSUEpRfQ18kyvcRAF4aSwY11qG1SuTmq
147.92.156.226|rippled-1.8.1|38631|147.92.128.0/17|JP|apnic|1991-07-19|LINE LINE Corporation, JP|n9M2FP5JFPb4HGhjBJN4roMWHNe1Da34m14EgdtcSmCYbXiK8XtD
148.251.11.19|rippled-1.7.3|24940|148.251.0.0/16|DE|ripencc|1993-09-01|HETZNER-AS, DE|n94aVU5JvB7LqPEFSCCDArNRDAT5QgmGuBLsirU4dNSxassDRDsv
148.251.121.154|rippled-1.8.1|24940|148.251.0.0/16|DE|ripencc|1993-09-01|HETZNER-AS, DE|n9LavswENYMgsB2dR1JDg5CrbJ5Tj3WrDKMdH9VJVrGZxGyPAXFZ
148.251.126.254|rippled-1.8.1|24940|148.251.0.0/16|DE|ripencc|1993-09-01|HETZNER-AS, DE|n9LyFtmrCCki4Vm1xLzXs4mpbCSRgo2Wod1Jg7ufEhEFnMNh6fWg
148.251.178.154|rippled-1.8.1|24940|148.251.0.0/16|DE|ripencc|1993-09-01|HETZNER-AS, DE|n9KKSQz5HRGwCAhe1y13xeubxaMcne6WKzmNyhss6iyDM5Asg2t5
148.251.66.250|rippled-xrpld-1.8.1|24940|148.251.0.0/16|DE|ripencc|1993-09-01|HETZNER-AS, DE|n9MDGCfimuyCmKXUAMcR12rv39PE6PY5YfFpNs75ZjtY3UWt31td
149.202.79.22|rippled-1.8.1|16276|149.202.0.0/16|FR|ripencc|1999-04-26|OVH, FR|n9Km45L5FLEvpysVTE9MSy8NT7E8RSg6MKc2hGDU567ugkt818h9
15.165.77.173|rippled-1.7.3|16509|15.164.0.0/15|US|arin|2018-09-27|AMAZON-02, US|n9LiErh5vkhbHu1dTiB6bJZgNd4z7bKDgE49X3mxqmqCfpKsUZpy
15.236.109.14|rippled-1.7.3|16509|15.236.0.0/15|US|arin|2018-09-27|AMAZON-02, US|n9MZUc1uvMsKsW5GQnZGizemoVdWyTHd8PHnJp5Go9e9epmn7sZi
150.249.132.56|rippled-1.7.3|2527|150.249.0.0/16|JP|apnic|1991-05-08|SO-NET Sony Network Communications Inc., JP|n9Lb7Zytfe7nFk1AgvYBxAaHNM6GuMWun6AMbgNroKu88irnLHfH
155.138.128.61|rippled-1.7.3|20473|155.138.128.0/19|US|arin|2018-12-05|AS-CHOOPA, US|n9Mr6dnnYVSnCYbWoCdRboNe6TQj7g5fx59eSfHPXPm4k9aXRF3Q
157.230.29.213|rippled-1.7.3|14061|157.230.16.0/20|US|arin|2018-08-22|DIGITALOCEAN-ASN, US|n94DPAE5LpDJnEHjQwDngZPbFjSASr2FdX2PUhsqBebhvnnsqbUS
157.245.221.36|rippled-1.7.3|14061|157.245.208.0/20|US|arin|2019-05-09|DIGITALOCEAN-ASN, US|n9MgSf4CYyN8ERDn6ND5gtB8iL8P67f7njkmVX2aF2kvezfaKbui
157.90.159.158|rippled-1.7.3|24940|157.90.0.0/16|DE|ripencc|1996-12-16|HETZNER-AS, DE|n9MQBfhG1veL8hWhjCqmzWDqQpEVYzrGmJzFsdShGiQ2fw23d79U
157.90.177.135|rippled-1.8.1|24940|157.90.0.0/16|DE|ripencc|1996-12-16|HETZNER-AS, DE|n9KRUdxoF3QxBYHYRQALJyUY1JeudCvQRmiqFvHRUvjK5SsAYka7
157.90.40.50|rippled-1.7.2|24940|157.90.0.0/16|DE|ripencc|1996-12-16|HETZNER-AS, DE|n9L6Xz4NkcRWwJcjWYVhZ18wtCGhQTcE977tdL2yRztysvP3Xjg1
159.100.244.20|rippled-1.7.3|61098|159.100.244.0/24|CH|ripencc|1992-03-31|EXOSCALE, CH|n94PtDYC44nuy5WTW9krcH5uYutqQS3KKtpmEn37tf5XT8grMq2P
159.223.73.66|rippled-1.7.3|14061|159.223.64.0/20|US|arin|2020-11-03|DIGITALOCEAN-ASN, US|n9LoQxVWdb7DekisNUs4FmEXKxpKYSVZmHXcLJg9V1TLtac9r9g4
159.65.19.216|rippled-1.7.3|14061|159.65.16.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US|n9LMjry84Dv5SWp6rhCyefvTL1pZGqHXPwsSVEpeWu3Zg455TVNL
159.69.63.252|rippled-1.7.2|24940|159.69.0.0/16|DE|ripencc|1992-03-13|HETZNER-AS, DE|n9M79NAtkvHE3HeVpBGBeQ7bt5et7T5CAaqMTMow213uLRDEc5jD
159.69.66.107|rippled-1.7.3|24940|159.69.0.0/16|DE|ripencc|1992-03-13|HETZNER-AS, DE|n9MJzizcXwrHzoa9hzjAyf7LJ535CjsEMuBXwXtArKBo6wRWd2DL
159.69.66.238|rippled-1.8.1|24940|159.69.0.0/16|DE|ripencc|1992-03-13|HETZNER-AS, DE|n94KqEL5sPqn3XywemPoYY8GiN2tMwF6SW6adoyikEGU2Mr3LddH
16.162.21.161|rippled-1.7.3|16509|16.162.0.0/15|US|arin|2019-04-04|AMAZON-02, US|n9KSPvJx1B9AieMf6cG9v2YerzhTBKDCbepzC2xDhrziDMm4npWR
16.162.89.14|rippled-1.7.3|16509|16.162.0.0/15|US|arin|2019-04-04|AMAZON-02, US|n9MJWNpxGk61vnHSVQVy6m8qdmKJYWo29CouB2oJJhasW9R969to
161.35.64.218|rippled-1.7.3|14061|161.35.64.0/20|US|arin|2019-07-30|DIGITALOCEAN-ASN, US|n9L1FrXfqwSh7aR3CrVyDMSTZRZasbFwrgJn1zrZSgf5sZvAW6RW
161.97.122.8|rippled-1.6.0|51167|161.97.122.0/23|DE|ripencc|1992-06-23|CONTABO, DE|n9Mssg6uZrTWL4sgdHUxsbzLpwrquMbYub6HyWCUV1otSvPX6HP7
162.55.102.230|rippled-1.7.3|24940|162.55.0.0/16|DE|ripencc|1992-08-03|HETZNER-AS, DE|n9Kcb6goruyFM52yM1QUyyYKonBQefEhG8tePGhxbCj5ibsQjt4c
162.55.102.231|rippled-1.7.3|24940|162.55.0.0/16|DE|ripencc|1992-08-03|HETZNER-AS, DE|n9KSKW42DRrd3a6XDWA9VtP4XMPwvb6g6m4N46hMZg58MCFDACka
162.55.185.42|rippled-1.8.1|24940|162.55.0.0/16|DE|ripencc|1992-08-03|HETZNER-AS, DE|n9Lv6yfL4w9xWhLRHcuCFpBJ9VZdB1PkCLCPv6zW8idrcY9cFg3V
162.55.244.140|rippled-1.7.3|24940|162.55.0.0/16|DE|ripencc|1992-08-03|HETZNER-AS, DE|n9K1ZoF7QP6aTmSpxp6F2xkYWhSrnrC2W6ioim6RFxKENLLYsiUL
162.55.63.110|rippled-1.8.1|24940|162.55.0.0/16|DE|ripencc|1992-08-03|HETZNER-AS, DE|n9K5evkc8UPtJgLDPBuT1CQFoF95tzgq48yqgWc6da75PdCpeTtM
162.55.85.56|rippled-1.7.3|24940|162.55.0.0/16|DE|ripencc|1992-08-03|HETZNER-AS, DE|n9L3Bg8crtf9ms5pZmxzdM4Jfz1rBuaFhtXV6mmiYam4or3s5NJq
162.55.97.43|rippled-1.7.3|24940|162.55.0.0/16|DE|ripencc|1992-08-03|HETZNER-AS, DE|n9Mz2sVKWWYNYqh6bSmqHiDk8mG2Vq7mdGfpYXmiBN5Ex9KSRH3W
