# https://explorer.zel.cash/ and whois results
# Zel
IP Address|ASN|BGP Prefix|CC|Registry|Allocated|AS Name|Payment Address|Publice Key
134.122.38.171||||||||
134.249.196.1||||||||
135.125.183.102||||||||
135.180.108.218||||||||
135.181.103.41||||||||
135.181.125.49||||||||
135.181.125.50||||||||
135.181.125.51|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE|t1ZZyF68qJZaGVKAvm6cM2MWJ5vyoiXxMsx|04528f0a993ca1a2f66f4a7221d7dc2957898532359c989c756d0a4002e838f0dc3c05a3d3dbd637d0564069ce3c3a06893f08e6404f75d0160059c28f28c7571d
135.181.125.52||||||||
135.181.125.53||||||||
135.181.129.228||||||||
135.181.147.142||||||||
135.181.162.242||||||||
135.181.165.186||||||||
135.181.192.231||||||||
135.181.198.130||||||||
135.181.198.213||||||||
135.181.211.41||||||||
135.181.217.249||||||||
135.181.22.96||||||||
135.181.47.38||||||||
135.181.81.201||||||||
135.181.81.58||||||||
136.243.226.50||||||||
136.243.226.51||||||||
136.243.226.52||||||||
136.243.226.53||||||||
136.243.226.54||||||||
136.243.226.55||||||||
136.243.226.56||||||||
136.243.226.57||||||||
136.243.226.58||||||||
136.243.226.59||||||||
136.243.77.25||||||||
136.243.77.27||||||||
136.243.77.38||||||||
136.243.77.39||||||||
136.243.77.41||||||||
136.244.103.2||||||||
136.244.108.25||||||||
136.244.115.17||||||||
136.244.91.154||||||||
136.244.99.4||||||||
136.50.235.246||||||||
136.56.76.73||||||||
137.184.115.7||||||||
137.220.51.24||||||||
138.197.171.154||||||||
138.201.81.13||||||||
138.201.81.16||||||||
138.201.81.23||||||||
138.201.81.45||||||||
139.162.18.215||||||||
139.180.165.111||||||||
139.180.167.246||||||||
139.180.207.128||||||||
139.59.140.74||||||||
139.59.180.184||||||||
139.99.171.28||||||||
140.82.58.175||||||||
141.144.237.21||||||||
141.94.71.19||||||||
141.94.76.4||||||||
141.94.76.95||||||||
141.95.224.140||||||||
142.127.166.74||||||||
142.132.186.252||||||||
142.132.205.40||||||||
142.147.99.23||||||||
142.147.99.24||||||||
142.147.99.42||||||||
142.147.99.57||||||||
142.147.99.58||||||||
142.93.159.140||||||||
143.110.153.170||||||||
143.178.133.206||||||||
143.198.139.77||||||||
143.198.145.255||||||||
143.198.157.200||||||||
143.198.61.227||||||||
143.198.77.94||||||||
143.244.183.253||||||||
144.126.128.63||||||||
144.126.129.61||||||||
144.126.132.114||||||||
144.126.133.137||||||||
144.126.133.42||||||||
144.126.134.189||||||||
144.126.135.177||||||||
144.126.137.171||||||||
144.126.138.169||||||||
144.126.138.176||||||||
144.126.141.30||||||||
144.126.144.209||||||||
144.126.144.226||||||||
144.126.144.92||||||||
144.126.145.142||||||||
144.126.146.197||||||||
144.126.146.242||||||||
144.126.147.164||||||||
144.126.158.6||||||||
144.202.100.208||||||||
144.202.111.71||||||||
144.202.36.161||||||||
144.202.52.41||||||||
144.76.198.248||||||||
144.76.253.209||||||||
144.76.253.210||||||||
144.76.253.211||||||||
144.76.253.212||||||||
144.76.253.213||||||||
144.91.101.109||||||||
144.91.101.252||||||||
144.91.102.151||||||||
144.91.102.165||||||||
144.91.104.192||||||||
144.91.104.84||||||||
144.91.105.147||||||||
144.91.106.180||||||||
144.91.108.145||||||||
144.91.108.196||||||||
144.91.109.132||||||||
144.91.110.14||||||||
144.91.110.23||||||||
144.91.110.39||||||||
144.91.111.134||||||||
144.91.114.79||||||||
144.91.116.126||||||||
144.91.117.51||||||||
144.91.117.98||||||||
144.91.118.120||||||||
144.91.119.50||||||||
144.91.119.62||||||||
144.91.122.89||||||||
144.91.123.242||||||||
144.91.124.229||||||||
144.91.125.106||||||||
144.91.126.28||||||||
